+------------------+-----------------------------+-----------------------+
| id_pessoa_fisica | nom_cidade                  | des_estado            |
| 661808813        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 672997856        | SAO PAULO                   | SAO PAULO             |
| 182529256        | BARRA BONITA                | SAO PAULO             |
| 69225632         | LENCOIS PAULISTA            | SAO PAULO             |
| 264102171        | BELO HORIZONTE              | MINAS GERAIS          |
| 104854013        | BREJO                       | MARANHAO              |
| 359740685        | INHAMBUPE                   | BAHIA                 |
| 208719243        | UBERLANDIA                  | MINAS GERAIS          |
| 263542613        | TEOLANDIA                   | BAHIA                 |
| 7369021          | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 223723232        | ARACAJU                     | SERGIPE               |
| 285477515        | SAO PAULO                   | SAO PAULO             |
| 730133677        | BRASILIA                    | DISTRITO FEDERAL      |
| 733923469        | FORTALEZA                   | CEARA                 |
| 225709467        | ITAPETINGA                  | BAHIA                 |
| 6076059          | SANTA LUZIA                 | MINAS GERAIS          |
| 764869931        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 105863152        | SANTA CRUZ DO CAPIBARIBE    | PERNAMBUCO            |
| 154960944        | SANTO ANTONIO DO DESCOBERTO | GOIAS                 |
| 146863563        | CURITIBA                    | PARANA                |
| 170712616        | URUGUAIANA                  | RIO GRANDE DO SUL     |
| 684542960        | SANTO ANDRE                 | SAO PAULO             |
| 220318040        | SOROCABA                    | SAO PAULO             |
| 247544080        | FEIRA DE SANTANA            | BAHIA                 |
| 124915613        | CORDEIROS                   | BAHIA                 |
| 27182525         | LAURO DE FREITAS            | BAHIA                 |
| 73317133         | SAO JOSE DOS PINHAIS        | PARANA                |
| 187022005        | QUIXADA                     | CEARA                 |
| 94915941         | COSMOPOLIS                  | SAO PAULO             |
| 285089960        | GUARULHOS                   | SAO PAULO             |
| 689011416        | EMBU-GUACU                  | SAO PAULO             |
| 259631771        | APARECIDA DE GOIANIA        | GOIAS                 |
| 82852939         | BELO HORIZONTE              | MINAS GERAIS          |
| 86486328         | SAO PAULO                   | SAO PAULO             |
| 71176400         | BELEM                       | PARA                  |
| 224834571        | BELO HORIZONTE              | MINAS GERAIS          |
| 267706491        | SALVADOR                    | BAHIA                 |
| 196831816        | SALVADOR                    | BAHIA                 |
| 292541216        | MOGI GUACU                  | SAO PAULO             |
| 240450491        | SAO PAULO                   | SAO PAULO             |
| 214435605        | CAMBE                       | PARANA                |
| 237801083        | SOROCABA                    | SAO PAULO             |
| 369686867        | CRATO                       | CEARA                 |
| 42945973         | CAMPINAS                    | SAO PAULO             |
| 29622363         | CUIABA                      | MATO GROSSO           |
| 62715341         | FEIRA DE SANTANA            | BAHIA                 |
| 218206181        | MACAE                       | RIO DE JANEIRO        |
| 64440629         | SANTA HELENA DE GOIAS       | GOIAS                 |
| 40535200         | SAO PAULO                   | SAO PAULO             |
| 671542701        | PINDAMONHANGABA             | SAO PAULO             |
| 687332675        | AQUIRAZ                     | CEARA                 |
| 268614373        | CRUZ ALTA                   | RIO GRANDE DO SUL     |
| 181030120        | CAMPO GRANDE                | MATO GROSSO DO SUL    |
| 98422813         | BELO HORIZONTE              | MINAS GERAIS          |
| 165809563        | PORTO ALEGRE                | RIO GRANDE DO SUL     |
| 169382149        | CUIABA                      | MATO GROSSO           |
| 291766064        | SAO PAULO                   | SAO PAULO             |
| 624161656        | GUARULHOS                   | SAO PAULO             |
| 166945840        | PAULISTA                    | ESPIRITO SANTO        |
| 94141595         | PASSO FUNDO                 | RIO GRANDE DO SUL     |
| 118730672        | VARZEA GRANDE               | MATO GROSSO           |
| 102477139        | GUARULHOS                   | SAO PAULO             |
| 53626549         | MARACAI                     | SAO PAULO             |
| 815516717        | SAO PAULO                   | SAO PAULO             |
| 268796008        | SAO CAITANO                 | PERNAMBUCO            |
| 172429883        | DUQUE DE CAXIAS             | RIO DE JANEIRO        |
| 656024323        | RIO BRANCO                  | ACRE                  |
| 79246648         | SALVADOR                    | BAHIA                 |
| 96393061         | CUIABA                      | MATO GROSSO           |
| 171190501        | BRASILIA                    | DISTRITO FEDERAL      |
| 94212571         | SAO GABRIEL                 | RIO GRANDE DO SUL     |
| 791453           | POMPEU                      | MINAS GERAIS          |
| 181771624        | LONDRINA                    | PARANA                |
| 663358709        | SAO LEOPOLDO                | RIO GRANDE DO SUL     |
| 132985981        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 34729485         | TUPA                        | SAO PAULO             |
| 394523392        | CAMPINAS                    | SAO PAULO             |
| 854730363        | RIBEIRAO PRETO              | SAO PAULO             |
| 208719299        | SALVADOR                    | BAHIA                 |
| 692086445        | IGARASSU                    | PERNAMBUCO            |
| 280962480        | MARILIA                     | SAO PAULO             |
| 761992483        | GOIANIA                     | GOIAS                 |
| 831176237        | MARACANAU                   | CEARA                 |
| 38184155         | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 185844456        | PORTO ALEGRE                | RIO GRANDE DO SUL     |
| 2932005          | JACAREI                     | SAO PAULO             |
| 18275717         | RECIFE                      | PERNAMBUCO            |
| 17894005         | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 14888707         | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 124879168        | FORTALEZA                   | CEARA                 |
| 207173557        | SANTO AMARO                 | BAHIA                 |
| 414486083        | MOSTARDAS                   | RIO GRANDE DO SUL     |
| 223506928        | PAULO AFONSO                | BAHIA                 |
| 2179797          | CAMPO GRANDE                | MATO GROSSO DO SUL    |
| 41599875         | GOIANIA                     | GOIAS                 |
| 37926541         | SAO PAULO                   | SAO PAULO             |
| 70337907         | CURITIBA                    | PARANA                |
| 659160608        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 244671941        | TAUBATE                     | SAO PAULO             |
| 384035709        | OURICURI                    | PERNAMBUCO            |
| 185363491        | BOA ESPERANCA               | MINAS GERAIS          |
| 147794549        | PETROLINA                   | PERNAMBUCO            |
| 50179445         | SAO MATEUS                  | ESPIRITO SANTO        |
| 275116547        | CAMPO FORMOSO               | BAHIA                 |
| 287965136        | JUNDIAI                     | SAO PAULO             |
| 79708085         | SAO SEBASTIAO               | SAO PAULO             |
| 252725939        | SOROCABA                    | SAO PAULO             |
| 4021856          | PORTO ALEGRE                | RIO GRANDE DO SUL     |
| 672681901        | ARARAQUARA                  | SAO PAULO             |
| 354221965        | POA                         | SAO PAULO             |
| 115503083        | JACINTO MACHADO             | SANTA CATARINA        |
| 672434413        | SUZANO                      | SAO PAULO             |
| 81081136         | BROTAS                      | SAO PAULO             |
| 690463061        | SAO PAULO                   | SAO PAULO             |
| 760095400        | IMPERATRIZ                  | MARANHAO              |
| 253928267        | COLORADO DO OESTE           | RONDONIA              |
| 102816016        | PIABETA                     | RIO DE JANEIRO        |
| 211314235        | SAO PAULO                   | SAO PAULO             |
| 338626203        | PERDIZES                    | MINAS GERAIS          |
| 145504141        | CAMPO GRANDE                | MATO GROSSO DO SUL    |
| 95688075         | ITABAIANA                   | SERGIPE               |
| 57751653         | JAU                         | SAO PAULO             |
| 92354128         | SAO JOSE DO RIO PRETO       | SAO PAULO             |
| 22200597         | JUQUITIBA                   | SAO PAULO             |
| 195885941        | SAO LUIS                    | MARANHAO              |
| 676296376        | SAO PAULO                   | SAO PAULO             |
| 1518344          | SAO PAULO                   | SAO PAULO             |
| 142450229        | RIO DE JANEIRO              | RIO DE JANEIRO        |
| 281852848        | JABOATAO DOS GUARARAPES     | PERNAMBUCO            |
| 265725488        | SAO PAULO                   | SAO PAULO             |
| 150976709        | LONDRINA                    | PARANA                |
| 241795832        | SAO JOSE DO RIO PRETO       | SAO PAULO             |
| 148503979        | BARRAS                      | PIAUI                 |
| 253038360        | GUARATINGUETA               | SAO PAULO             |
| 350983093        | EUSEBIO                     | CEARA                 |
| 204475549        | NILOPOLIS                   | RIO DE JANEIRO        |
| 158717784        | BELFORD ROXO                | RIO DE JANEIRO        |
| 230438899        | ALTOS                       | PIAUI                 |
| 213455971        | GALIA                       | SAO PAULO             |
